name,short,gatherduration,type,siteTypes,maxAtLevel,maxAmount
Onsoy Ore,raw_on,180000,ORE,MINE,5,10
Sufara Ore,raw_suf,240000,ORE,MINE,10,10
Velia Ore,raw_vel,330000,ORE,MINE,15,10
Enard Ore,raw_en,420000,ORE,MINE,20,10
Brunexa Ore,raw_bru,540000,ORE,MINE,25,10
Frae Gem,raw_fra,600000,GEM,MINE,10,5
Weioi Gem,raw_wei,720000,GEM,MINE,20,5
Gilna Coal,raw_gil,300000,FUEL,MINE,5,10
Barivor Coal,raw_bar,500000,FUEL,MINE,15,10
Firewood,raw_fw,120000,FUEL,FOREST,5,10
Redar Log,raw_red,180000,LOG,FOREST,5,10
Suchia Log,raw_suc,240000,LOG,FOREST,10,10
Delrus Log,raw_del,330000,LOG,FOREST,15,10
Peldona Log,raw_pel,420000,LOG,FOREST,20,10
Covento Berry,raw_cov,120000,BERRY,"FOREST,MEADOW",5,5
Toi Berry,raw_toi,240000,BERRY,MEADOW,10,5
Baloe Fruit,raw_bal,210000,FRUIT,FOREST,5,5
Girini Fruit,raw_gir,270000,FRUIT,MEADOW,10,5
Hakple,raw_hak,210000,PLANT,MEADOW,5,5
Enuy,raw_enu,360000,PLANT,"FOREST,MEADOW",10,5
Tauva,raw_tau,270000,HERB,FOREST,5,5
Mycia,raw_myc,360000,HERB,"MEADOW,RIVER",10,5
Sevo Stone,raw_sev,180000,STONE,MINE,5,10
Sevo Sand,raw_sevs,150000,SAND,RIVER,5,10
Grunua Stone,raw_gru,240000,STONE,MINE,10,10
Grunua Sand,raw_grus,210000,SAND,RIVER,10,10
Chudea Stone,raw_chu,330000,STONE,MINE,15,10
Chudea Sand,raw_chus,270000,SAND,RIVER,15,10
Herduna Fish,raw_her,480000,FISH,LAKE,5,3
Varoavora Fish,raw_var,600000,FISH,LAKE,10,3
Goldedea Fish,raw_gol,780000,FISH,"LAKE,RIVER",15,3
