name,short,gatherduration,type,siteTypes,maxAtLevel,maxAmount
Onsoy Ore,on,180000,ORE,MINE,5,10
Sufara Ore,suf,240000,ORE,MINE,10,10
Velia Ore,vel,330000,ORE,MINE,15,10
Enard Ore,en,420000,ORE,MINE,20,10
Brunexa Ore,bru,540000,ORE,MINE,25,10
Frae Gem,fra,600000,GEM,MINE,10,5
Weioi Gem,wei,720000,GEM,MINE,20,5
Gilna Coal,gil,300000,FUEL,MINE,5,10
Barivor Coal,bar,500000,FUEL,MINE,15,10
Firewood,fw,120000,LOG,FOREST,5,10
Redar Log,red,180000,LOG,FOREST,5,10
Suchia Log,suc,240000,LOG,FOREST,10,10
Delrus Log,del,330000,LOG,FOREST,15,10
Peldona Log,pel,420000,LOG,FOREST,20,10
Covento Berry,cov,120000,BERRY,"FOREST,MEADOW",5,5
Toi Berry,toi,240000,BERRY,MEADOW,10,5
Baloe Fruit,bal,210000,FRUIT,FOREST,5,5
Girini Fruit,gir,270000,FRUIT,MEADOW,10,5
Hakple,hak,210000,PLANT,MEADOW,5,5
Enuy,enu,360000,PLANT,"FOREST,MEADOW",10,5
Tauva,tau,270000,HERB,FOREST,5,5
Mycia,myc,360000,HERB,"MEADOW,RIVER",10,5
Sevo Stone,sev,180000,STONE,MINE,5,10
Sevo Sand,sevs,150000,SAND,RIVER,5,10
Grunua Stone,gru,240000,STONE,MINE,10,10
Grunua Sand,grus,210000,SAND,RIVER,10,10
Chudea Stone,chu,330000,STONE,MINE,15,10
Chudea Sand,chus,270000,SAND,RIVER,15,10
Herduna Fish,her,480000,FISH,LAKE,5,3
Varoavora Fish,var,600000,FISH,LAKE,10,3
Goldedea Fish,gol,780000,FISH,"LAKE,RIVER",15,3
