short,baseAmount,basePrice,unlockedAtLevel
raw_on,20,10,0
raw_suf,20,20,0
raw_vel,20,30,5
raw_en,20,40,10
raw_bru,20,50,15
raw_fra,10,20,0
raw_wei,10,40,10
raw_gil,20,15,0
raw_bar,20,45,5
raw_fw,20,10,0
raw_red,20,10,0
raw_suc,20,20,0
raw_del,20,30,5
raw_pel,20,40,10
raw_cov,10,20,0
raw_toi,10,40,0
raw_bal,10,20,0
raw_gir,10,20,0
raw_hak,10,20,0
raw_enu,10,40,0
raw_tau,10,20,0
raw_myc,10,40,0
raw_sev,20,10,0
raw_sevs,20,10,0
raw_gru,20,20,0
raw_grus,20,20,0
raw_chu,20,30,5
raw_chus,20,30,5
raw_her,6,50,0
raw_var,6,100,5
raw_gol,6,150,5
fur_onn,15,20,1
fur_oni,2,185,1
fur_sufn,15,40,5
fur_sufi,2,575,5
saw_red,15,20,1
saw_suc,15,40,5
stc_sev,15,20,1
stc_gru,15,40,5
